,Borough,SubjectAge
0,Kensington and Chelsea,18-34
1,Kensington and Chelsea,18-34
2,Kensington and Chelsea,18-34
3,Waltham Forest,18-34
4,Croydon,18-34
5,Barnet,50-64
6,Haringey,35-49
7,Barnet,18-34
8,Waltham Forest,35-49
9,City of Westminster,18-34
10,Lambeth,18-34
11,Croydon,35-49
12,Lewisham,18-34
13,Barking and Dagenham,50-64
14,Brent,18-34
15,Lambeth,18-34
16,Haringey,18-34
17,Harrow,50-64
18,Hillingdon,50-64
19,Haringey,18-34
20,Newham,35-49
21,Hackney,18-34
22,Barking and Dagenham,18-34
23,Barking and Dagenham,18-34
24,Camden,50-64
25,Richmond upon Thames,18-34
26,Tower Hamlets,35-49
27,Bexley,35-49
28,Richmond upon Thames,11-17
29,Tower Hamlets,11-17
30,Greenwich,35-49
31,Barking and Dagenham,18-34
32,Barnet,35-49
33,Hammersmith and Fulham,35-49
34,City of Westminster,35-49
35,Brent,18-34
36,Hillingdon,18-34
37,City of Westminster,35-49
38,Greenwich,50-64
39,Ealing,35-49
40,Lambeth,35-49
41,Tower Hamlets,50-64
42,Greenwich,50-64
43,Kensington and Chelsea,18-34
44,City of Westminster,18-34
45,Waltham Forest,18-34
46,Hammersmith and Fulham,18-34
47,Waltham Forest,35-49
48,City of Westminster,18-34
49,Newham,50-64
50,Lewisham,50-64
51,City of Westminster,18-34
52,City of Westminster,18-34
53,Croydon,18-34
54,Barnet,35-49
55,City of Westminster,18-34
56,Croydon,35-49
57,Camden,18-34
58,Islington,18-34
59,Kensington and Chelsea,18-34
60,Ealing,18-34
61,Havering,18-34
62,Ealing,18-34
63,City of Westminster,18-34
64,Islington,18-34
65,Newham,18-34
66,Havering,18-34
67,Camden,18-34
68,City of Westminster,11-17
69,City of Westminster,11-17
70,Islington,18-34
71,Islington,18-34
72,Southwark,18-34
73,Southwark,18-34
74,Wandsworth,18-34
75,Islington,18-34
76,Islington,35-49
77,City of Westminster,18-34
78,Hounslow,35-49
79,Brent,50-64
80,Hammersmith and Fulham,18-34
81,Hillingdon,18-34
82,Harrow,18-34
83,Hackney,18-34
84,Waltham Forest,35-49
85,Newham,18-34
86,Lambeth,18-34
87,Hounslow,18-34
88,Islington,18-34
89,Hammersmith and Fulham,18-34
90,Hackney,11-17
91,Hounslow,18-34
92,Barking and Dagenham,50-64
93,Brent,18-34
94,Croydon,35-49
95,Lewisham,50-64
96,City of Westminster,18-34
97,Havering,18-34
98,Camden,18-34
